time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y
120.3699951,150,150,38,46,537,3,490.5917031,211.7990084,522.4174541,383.5947454
120.4000244,150,150,26,46,537,1,490.5917031,211.7990084,522.4174541,383.5947454
120.4300537,150,150,27,46,536,3,490.7323617,211.5499981,524.5960229,383.5838845
120.4599609,150,150,26,45,538,2,490.6831457,211.5624442,524.8546258,383.6543985
120.4899902,150,150,32,48,535,3,490.6831457,211.5624442,524.8546258,383.6543985
120.5200195,150,150,38,46,536,4,490.6568275,211.6867551,523.716987,383.7989523
120.5500488,150,150,27,46,535,2,490.6568275,211.6867551,523.716987,383.7989523
120.5799561,150,150,28,46,536,2,490.5120737,211.5210885,522.9182933,384.0065985
120.6099854,150,150,28,46,536,3,490.6253318,211.673118,523.2534349,384.0957931
120.6500244,150,150,30,46,538,1,490.5946186,211.791218,523.7384182,383.8956659
120.6700439,150,150,30,46,537,2,490.5946186,211.791218,523.7384182,383.8956659
120.6999512,150,150,27,46,535,1,490.5946186,211.791218,523.7384182,383.8956659
120.7299805,150,150,27,46,535,3,490.6253318,211.673118,525.4770947,383.7301136
120.7700195,150,150,28,46,533,1,490.5426976,211.5109311,525.6592973,383.810046
120.8000488,150,150,35,48,533,3,490.5778546,211.7384861,525.1704438,383.8103851
120.8299561,150,150,26,46,534,3,490.6657081,211.4694347,524.3959158,383.780688
120.8499756,150,150,28,46,538,2,490.6657081,211.4694347,524.3959158,383.780688
120.8900146,150,150,27,47,533,2,490.5955422,211.6156224,523.5769187,383.9737937
120.9200439,150,150,29,46,535,2,490.6257611,211.5678407,523.6787232,384.0189553
120.9499512,150,150,34,46,536,2,490.5300408,211.7839256,524.2727252,383.8082927
120.9799805,150,150,26,45,535,2,490.5819213,211.6350909,525.0125088,383.7524141
121.0100098,150,150,29,46,534,2,490.5819213,211.6350909,525.0125088,383.7524141
121.0400391,150,150,29,46,532,2,490.5819213,211.6350909,525.0125088,383.7524141
121.0699463,150,150,35,46,535,2,490.5721524,211.7387809,525.7576978,383.9436193
121.0999756,150,150,27,46,536,2,490.6253318,211.673118,525.3603992,383.8607288
121.1300049,150,150,25,48,534,2,490.6427368,211.6249963,524.8991575,383.7527258
121.1600342,150,150,29,46,534,3,490.6427368,211.6249963,524.8991575,383.7527258
121.1899414,150,150,31,45,533,3,490.6427368,211.6249963,524.8991575,383.7527258
121.2199707,150,150,36,46,536,2,490.6534999,211.4880456,524.0365748,383.7750083
121.25,150,150,26,45,538,1,490.6534999,211.4880456,524.0365748,383.7750083
121.2800293,150,150,28,46,535,2,490.6129219,211.6069795,525.3381719,383.7648415
121.3099365,150,150,30,47,535,2,490.6388222,211.4868941,525.7849711,383.8962507
121.3399658,150,150,31,46,535,2,490.5429448,211.6506176,525.7849711,383.8962507
121.3699951,150,150,37,46,535,1,490.5429448,211.6506176,525.7849711,383.8962507
121.4000244,150,150,26,47,533,2,490.6131186,211.5030488,525.4558753,383.7522428
121.4300537,150,150,27,46,536,0,490.660809,211.5978708,524.9036352,383.6614665
121.4599609,150,150,31,46,535,4,490.6383852,211.5921657,524.5223807,383.8097286
121.4899902,150,150,37,46,538,2,490.5600709,211.5089795,524.1041,383.7888946
121.5200195,150,150,25,46,537,3,490.5600709,211.5089795,524.1041,383.7888946
121.5500488,150,150,28,46,537,3,490.5600709,211.5089795,524.1041,383.7888946
121.5799561,150,150,28,46,536,3,490.5655316,211.5676599,525.3381719,383.7648415
121.6099854,150,150,32,46,538,3,490.6388222,211.4868941,525.7633329,383.880548
121.6400146,150,150,39,46,535,3,490.6085983,211.5346842,525.6749409,383.7980864
121.6700439,150,150,27,46,536,1,490.6085983,211.5346842,525.6749409,383.7980864
121.6999512,150,150,28,46,536,1,490.6085983,211.5346842,525.6749409,383.7980864
121.7299805,150,150,26,46,537,2,490.6601306,211.545847,524.8308984,383.7147835
121.7600098,150,150,30,46,539,2,490.6601306,211.545847,524.8308984,383.7147835
121.7900391,150,150,39,47,537,5,490.6601306,211.545847,524.8308984,383.7147835
121.8199463,150,150,28,46,535,0,490.6974691,211.6842605,524.5952775,383.6647027
121.8499756,150,150,27,45,535,2,490.6747229,211.6114044,524.9349176,383.6154885
121.8800049,150,150,29,47,536,1,490.7360681,211.5649609,525.4038409,383.7059888
121.9100342,150,150,37,46,534,3,490.6973253,211.5288903,525.6484193,383.8469622
121.9399414,150,150,29,46,537,2,490.7622324,211.5205109,525.6335405,383.702099
121.9699707,150,150,31,47,537,3,490.6790749,211.6839017,525.3123296,383.7230605
122,150,150,28,46,537,3,490.6790749,211.6839017,525.3123296,383.7230605
122.0300293,150,150,28,46,538,2,490.6158494,211.6285987,524.8777562,383.6196847
122.0599365,150,150,37,46,535,1,490.6158494,211.6285987,524.8777562,383.6196847
122.0899658,150,150,27,46,537,3,490.6158494,211.6285987,524.8777562,383.6196847
122.1199951,150,150,30,46,537,3,490.6158494,211.6285987,524.8777562,383.6196847
122.1500244,150,150,28,46,537,2,490.6632459,211.4598067,524.9911517,383.6193555
122.1800537,150,150,34,48,537,3,490.6632459,211.4598067,525.4344598,383.8385645
122.2099609,150,150,29,47,538,3,490.5595521,211.9113826,525.6106016,383.7435119
122.2399902,150,150,27,46,537,2,490.6973253,211.5288903,525.5535586,383.8769612
122.2700195,150,150,30,46,536,2,490.7230521,211.5127408,525.2210419,383.7227854
122.3000488,150,150,30,45,537,0,490.7243652,211.5657415,524.9456202,383.671027
122.3299561,150,150,35,46,535,2,490.7243652,211.5657415,524.9456202,383.671027
122.3599854,150,150,24,47,537,1,490.7243652,211.5657415,524.9456202,383.671027
122.3900146,150,150,28,46,535,3,490.7243652,211.5657415,524.9456202,383.671027
122.4200439,150,150,31,47,537,2,490.6265005,211.6012195,524.7938139,383.6285668
122.4499512,150,150,32,46,537,3,490.6265005,211.6012195,524.7938139,383.6285668
122.4799805,150,150,37,46,537,1,490.6886335,211.5512856,525.4245381,383.853821
122.5100098,150,150,25,47,538,2,490.6698744,211.6392347,525.5636878,383.8556615
122.5500488,150,150,28,46,536,2,490.6703825,211.5339631,525.5165123,383.7984002
122.5699463,0,0,29,46,538,0,490.644407,211.6540449,525.2279434,383.7318473
122.5999756,0,0,28,46,537,3,490.644407,211.6540449,525.2279434,383.7318473
122.6300049,0,0,29,46,536,2,490.6884346,211.4828142,524.6756792,383.612869
122.6500244,0,0,30,45,540,4,490.6878038,211.5880739,523.4539866,383.5805857
122.6800537,0,0,28,46,541,0,490.5567513,211.4872391,521.5670033,383.2728737
122.6999512,0,0,29,46,541,3,490.5567513,211.4872391,521.5670033,383.2728737
122.7299805,0,0,27,46,545,1,490.5567513,211.4872391,521.5670033,383.2728737
122.7600098,0,0,30,46,549,1,490.5567513,211.4872391,521.5670033,383.2728737
122.7800293,0,0,27,46,556,1,490.5567513,211.4872391,521.5670033,383.2728737
122.8099365,0,0,29,46,559,2,490.5567513,211.4872391,521.5670033,383.2728737
122.8299561,0,0,28,46,564,2,490.644674,211.5501143,508.1581009,381.6925785
122.8599854,0,0,27,46,568,3,490.6878038,211.5880739,506.3529235,381.5183885
122.8900146,0,0,29,46,573,2,490.6698744,211.6392347,505.4357434,381.4727587
122.9100342,0,0,26,46,574,4,490.6998163,211.6322645,506.2760338,381.4018661
122.9399414,0,0,29,46,574,1,490.6998163,211.6322645,506.2760338,381.4018661
122.9599609,0,0,26,46,575,3,490.6867921,211.5800297,507.2642018,381.2612896
122.9899902,0,0,28,48,578,2,490.7087433,211.5327914,507.5561205,381.179916
123.0200195,0,0,26,46,579,1,490.6387966,211.6452684,507.4283312,381.2135311
123.0400391,0,0,28,46,578,3,490.6387966,211.6452684,507.4283312,381.2135311
123.0699463,0,0,27,46,580,1,490.638806,211.7506752,505.7795549,380.6823279
123.0899658,0,0,27,46,586,2,490.6787098,211.6525033,503.8507669,380.3912008
123.1199951,0,0,29,46,585,1,490.6120027,211.5916763,501.9587961,380.1954092
123.1500244,0,0,25,46,586,4,490.6867921,211.5800297,500.3260306,380.1074289
123.1700439,0,0,29,45,587,1,490.6867921,211.5800297,500.3260306,380.1074289
123.1999512,0,0,26,45,590,3,490.7267849,211.4816228,500.4018053,380.0482087
123.2199707,0,0,28,46,591,2,490.6863132,211.6853055,501.3491053,379.8887291
123.25,0,0,26,46,591,2,490.7350937,211.6734667,502.6943904,380.2330037
123.2800293,0,0,27,46,595,1,490.7350937,211.6734667,502.6943904,380.2330037
123.3000488,0,0,28,48,595,0,490.7350937,211.6734667,502.6943904,380.2330037
123.3299561,0,0,25,46,596,2,490.638806,211.7506752,503.9444859,380.0521984
123.3499756,0,0,29,46,593,2,490.638806,211.7506752,503.9444859,380.0521984
123.3800049,0,0,25,46,594,2,490.7042314,211.6341456,502.1427303,379.8025232
123.4100342,0,0,29,46,594,1,490.6787098,211.6525033,500.5356212,379.8720018
123.4300537,0,0,26,46,597,3,490.6960682,211.6917536,499.7359641,379.6402653
123.4599609,0,0,28,46,595,0,490.6960682,211.6917536,499.7359641,379.6402653
123.4799805,0,0,27,46,596,2,490.7441097,211.5209714,499.6115774,379.5186928
123.5100098,0,0,26,46,597,0,490.6957727,211.6197309,500.1021183,379.6717074
123.5400391,0,0,28,46,596,3,490.6957727,211.6197309,500.1021183,379.6717074
123.5599365,0,0,26,47,596,2,490.7144987,211.5344252,501.3826311,379.9800858
123.5899658,0,0,28,46,597,2,490.7144987,211.5344252,501.3826311,379.9800858
123.6099854,0,0,26,46,595,4,490.7615795,211.5751222,502.959689,380.2164413
123.6400146,0,0,29,46,595,2,490.7615795,211.5751222,502.959689,380.2164413
123.6700439,0,0,27,46,598,5,490.7307648,211.6983606,502.5781956,379.9929896
123.6899414,0,0,28,46,599,0,490.766089,211.4736931,501.8012849,379.9393754
123.7199707,0,0,27,45,600,2,490.7615795,211.5751222,500.5074774,379.6903746
123.75,0,0,27,46,600,2,490.7621726,211.4697815,499.8178355,379.5975548
123.7700195,0,0,28,46,599,1,490.6957801,211.5148029,499.6348214,379.5002169
123.8000488,0,0,26,46,598,1,490.6957801,211.5148029,499.6348214,379.5002169
123.8199463,0,0,29,47,598,3,490.6957801,211.5148029,499.6348214,379.5002169
123.8499756,0,0,25,46,599,2,490.6709254,211.6345624,500.8389897,379.8194899
123.8800049,0,0,28,47,599,1,490.6709254,211.6345624,500.8389897,379.8194899
123.9000244,0,0,26,47,598,4,490.6513777,211.4274869,501.8661733,379.8698266
123.9300537,0,0,26,46,600,2,490.6513777,211.4274869,501.8661733,379.8698266
123.9499512,0,0,27,47,599,3,490.6346113,211.5790309,502.2691523,379.7709194
123.9799805,0,0,27,46,600,2,490.7041647,211.4671885,501.6575398,379.8144425
124,0,0,29,46,597,2,490.7041647,211.4671885,501.6575398,379.8144425
124.0300293,0,0,25,45,600,1,490.6202899,211.7367832,500.5304194,379.6982888
124.0599365,0,0,28,46,601,2,490.6816245,211.61971,499.7281861,379.4182642
124.0799561,0,0,26,46,601,2,490.6822165,211.5144471,499.6211426,379.4752757
124.1099854,0,0,26,46,602,2,490.6822165,211.5144471,499.6211426,379.4752757
124.1300049,0,0,27,46,599,1,490.6822165,211.5144471,499.6211426,379.4752757
124.1600342,0,0,25,46,599,2,490.6822165,211.5144471,499.6211426,379.4752757
124.1899414,0,0,27,46,602,2,490.7312646,211.5018232,501.1988086,379.8310896
124.2099609,0,0,26,46,601,1,490.7535482,211.4542857,501.9584584,379.7362344
124.2399902,0,0,28,46,598,2,490.7535482,211.4542857,501.9584584,379.7362344
124.2600098,0,0,25,46,599,2,490.6822165,211.5144471,501.9584584,379.7362344
124.2900391,0,0,28,45,600,3,490.7033431,211.5733751,501.6575398,379.8144425
124.3199463,0,0,25,46,602,1,490.7033431,211.5733751,501.6575398,379.8144425
124.3399658,0,0,27,46,598,3,490.7033431,211.5733751,501.6575398,379.8144425
124.3699951,0,0,27,46,600,2,490.6828515,211.5659632,499.8300993,379.4580882
124.3900146,0,0,26,46,601,3,490.6816245,211.61971,499.7255165,379.5260681
124.4200439,0,0,28,46,602,1,490.6043835,211.5126358,499.7255165,379.5260681
124.4499512,0,0,25,48,599,1,490.6162076,211.7362388,500.1735253,379.4578749
124.4699707,0,0,28,46,599,0,490.6162076,211.7362388,500.1735253,379.4578749
124.5,0,0,25,46,601,2,490.6162076,211.7362388,500.1735253,379.4578749
124.5200195,0,0,28,48,600,2,490.7350742,211.4231883,501.6163079,379.9438428
124.5500488,0,0,26,45,602,2,490.7665976,211.4616465,501.7709162,379.863833
124.5799561,0,0,27,46,600,2,490.7097409,211.5228123,501.4327961,379.8721624
124.5999756,0,0,28,46,602,1,490.7097409,211.5228123,501.4327961,379.8721624
124.6300049,0,0,26,46,603,0,490.7097409,211.5228123,501.4327961,379.8721624
124.6600342,0,0,28,46,598,2,490.5443981,211.5997592,500.1293858,379.3594508
124.6800537,0,0,24,46,601,2,490.7125064,211.5758015,499.7495671,379.5844282
124.7099609,0,0,29,47,597,3,490.5978609,211.7898654,499.7469558,379.5300649
124.7299805,0,0,27,46,601,1,490.5978609,211.7898654,499.7469558,379.5300649
124.7600098,0,0,27,46,603,2,490.7342436,211.529436,500.07063,379.3897044
124.7900391,0,0,27,46,601,3,490.7342436,211.529436,500.07063,379.3897044
124.8099365,0,0,26,46,601,0,490.5746078,211.6996561,501.1549696,379.8287651
124.8399658,0,0,27,45,601,2,490.5746078,211.6996561,501.1549696,379.8287651
124.8599854,0,0,25,46,599,3,490.694576,211.6269936,501.4327961,379.8721624
124.8900146,0,0,29,46,600,1,490.6950541,211.5216582,501.2055007,379.8345455
124.9200439,0,0,26,46,602,2,490.7125064,211.5758015,500.9128309,379.6262016
124.9399414,0,0,29,46,601,1,490.7125064,211.5758015,500.9128309,379.6262016
124.9699707,0,0,27,47,600,3,490.7131072,211.470478,500.2894762,379.5273023
124.9899902,0,0,27,46,602,2,490.7498887,211.4577476,499.9496622,379.4253255
125.0200195,0,0,27,46,602,2,490.7498887,211.4577476,499.9496622,379.4253255
125.0500488,0,0,27,46,600,2,490.7498887,211.4577476,499.9496622,379.4253255
125.0699463,0,0,28,46,602,2,490.7498887,211.4577476,499.9496622,379.4253255
125.0999756,0,0,25,46,601,0,490.7057425,211.5269184,500.5309863,379.5948733
125.1199951,0,0,28,47,602,3,490.6290791,211.573978,501.0151746,379.796864
125.1500244,0,0,28,46,600,2,490.6290791,211.573978,501.0151746,379.796864
125.1800537,0,0,28,45,602,2,490.6290791,211.573978,501.0151746,379.796864
125.1999512,0,0,27,46,602,1,490.6290791,211.573978,501.0151746,379.796864
125.2299805,0,0,27,47,605,3,490.6290791,211.573978,501.0151746,379.796864
125.25,0,0,27,46,600,3,490.6879719,211.6802295,500.4143739,379.4166838
125.2800293,0,0,26,46,600,1,490.6879719,211.6802295,500.4143739,379.4166838
125.3099365,0,0,28,46,601,3,490.6879719,211.6802295,500.4143739,379.4166838
125.3299561,0,0,26,46,597,2,490.7718448,211.4104568,499.9437961,379.4798063
125.3599854,0,0,28,46,601,1,490.731418,211.6142692,500.0832857,379.4272957
125.3800049,0,0,25,46,603,2,490.7718448,211.4104568,500.4542627,379.5611326
125.4100342,0,0,27,46,600,1,490.7718448,211.4104568,500.4542627,379.5611326
125.4300537,0,0,26,45,601,1,490.6782743,211.785447,500.840502,379.624155
125.4599609,0,0,26,46,601,1,490.5295331,211.6771249,501.0297748,379.7923763
125.4899902,0,0,28,46,601,3,490.7989881,211.4451091,501.06488,379.6331501
125.5100098,0,0,25,46,600,2,490.7989881,211.4451091,501.06488,379.6331501
125.5400391,0,0,27,46,600,0,490.7989881,211.4451091,501.06488,379.6331501
125.5599365,0,0,26,47,601,4,490.6916599,211.7041118,500.3361905,379.4404012
125.5899658,0,0,28,46,600,2,490.6699677,211.6450454,500.1591797,379.1910126
125.6199951,0,0,27,46,601,1,490.75716,211.5875934,499.9351453,379.3540897
125.6400146,0,0,26,46,603,2,490.7360377,211.5286699,500.0463669,379.2535521
125.6700439,0,0,27,46,600,3,490.7360377,211.5286699,500.0463669,379.2535521
125.6899414,0,0,26,45,601,2,490.7179858,211.579813,500.2964363,379.2961922
125.7199707,0,0,28,46,601,1,490.6152425,211.593699,500.6041816,379.5355384
125.75,0,0,24,46,602,1,490.7360377,211.5286699,500.8923185,379.6189859
125.7700195,0,0,28,46,601,2,490.7360377,211.5286699,500.8923185,379.6189859
125.8000488,0,0,26,46,602,0,490.6346413,211.5992543,500.8923185,379.6189859
125.8199463,0,0,27,46,601,2,490.7360105,211.685445,500.7301609,379.5403819
125.8499756,0,0,26,46,598,3,490.709894,211.65228,500.3958813,379.4541327
125.8800049,0,0,26,46,601,2,490.7360377,211.5286699,500.2274175,379.3495154
125.9000244,0,0,27,46,602,2,490.7360377,211.5286699,500.2274175,379.3495154
125.9300537,0,0,25,46,603,4,490.735426,211.6339243,499.9351453,379.3540897
125.9499512,0,0,28,45,601,2,490.735426,211.6339243,499.9351453,379.3540897
125.9799805,0,0,26,46,601,1,490.7179858,211.579813,500.287078,379.4069268
126.0100098,0,0,29,46,602,2,490.735426,211.6339243,500.4479589,379.4758592
126.0300293,0,0,26,46,602,1,490.7323108,211.7122215,500.7873777,379.5903827
126.0599365,0,0,27,46,603,2,490.7323108,211.7122215,500.7873777,379.5903827
126.0799561,0,0,27,46,601,4,490.7509394,211.555729,500.8276109,379.718435
126.1099854,0,0,26,46,600,1,490.7720433,211.6146843,500.6724223,379.6696623
126.1400146,0,0,28,46,600,4,490.7720433,211.6146843,500.6724223,379.6696623
126.1600342,0,0,25,46,601,2,490.7328526,211.6068991,500.271333,379.5396362
126.1899414,0,0,29,46,600,2,490.7328526,211.6068991,500.271333,379.5396362
126.2099609,0,0,26,46,601,1,490.7068125,211.7270338,500.0943719,379.29012
126.2399902,0,0,26,45,602,2,490.7068125,211.7270338,500.0943719,379.29012
126.2700195,0,0,26,46,601,2,490.7541195,211.6658879,500.1711552,379.3382445
126.2900391,0,0,27,48,600,3,490.7251677,211.5730346,500.1711552,379.3382445
126.3199463,0,0,27,46,602,2,490.7502748,211.6610395,500.3310426,379.553389
126.3399658,0,0,25,46,602,3,490.8000369,211.543101,500.5238465,379.5607324
126.3699951,0,0,28,46,603,4,490.8000369,211.543101,500.5238465,379.5607324
126.4000244,0,0,26,46,599,3,490.7502748,211.6610395,500.7873777,379.5903827
126.4200439,0,0,29,46,600,2,490.7682209,211.6780159,500.6019073,379.6413589
126.4499512,0,0,25,46,602,0,490.7509394,211.555729,500.3847474,379.5192381
126.4699707,0,0,27,47,601,1,490.7509394,211.555729,500.3847474,379.5192381
126.5,0,0,26,45,599,4,490.7510102,211.7811369,500.1711552,379.3382445
126.5300293,0,0,27,46,602,2,490.7502748,211.6610395,500.162559,379.4486912
126.5500488,0,0,28,48,601,1,490.6853363,211.6764526,500.2627563,379.2736933
126.5799561,0,0,26,46,599,2,490.6853363,211.6764526,500.2627563,379.2736933
126.5999756,0,0,29,46,599,3,490.6968116,211.6217423,500.3630043,379.4750863
126.6300049,150,150,19,46,600,2,490.6968116,211.6217423,500.3630043,379.4750863
126.6600342,150,150,23,46,599,4,490.7765827,211.4923592,500.6024127,379.6058903
126.6899414,150,150,34,45,602,2,490.7765827,211.4923592,501.1618977,379.8857893
126.7199707,150,150,24,46,597,1,490.7504194,211.6160232,502.2863649,380.3971019
126.75,150,150,25,46,594,1,490.7765399,211.6491978,504.4445517,381.1453621
126.7800293,150,150,26,46,589,3,490.7287155,211.6623967,507.3335171,381.3654301
126.8099365,150,150,29,46,584,2,490.7287155,211.6623967,507.3335171,381.3654301
126.8399658,150,150,36,46,581,2,490.7580212,211.6488347,513.0710727,382.2981019
126.8699951,150,150,27,45,577,2,490.7759604,211.5976563,515.2640724,382.5771398
126.9000244,150,150,27,46,574,3,490.7759604,211.5976563,515.2640724,382.5771398
126.9300537,150,150,27,46,570,2,490.7765827,211.4923592,515.6432494,382.6380069
126.9599609,150,150,29,46,569,2,490.7804947,211.4962696,515.717365,382.8764887
126.9899902,150,150,37,46,563,2,490.7292883,211.60916,515.3491135,383.1100211
127.0200195,150,150,26,46,559,1,490.6321768,211.6061603,515.5671314,383.191686
127.0500488,150,150,28,46,556,1,490.7287155,211.6623967,516.4200617,383.1570753
